"playerName","clubName","playerAge","position","minPlayed","minAvailable","minPer","DoB","marketValue"
"Max Clark","Vitesse Arnhem",23,"Left-Back",1688,1800,0.938,1996-01-19,850000
"Maximilian Rossmann","Heracles Almelo",24,"Centre-Back",165,1800,0.092,1995-05-06,7e+05
"Melle Meulensteen","RKC Waalwijk",20,"Centre-Back",912,1710,0.533,1999-07-04,4e+05
"Mica Pinto","Sparta Rotterdam",26,"Left-Back",0,1800,0,1993-06-04,650000
"Mica Pinto","Fortuna Sittard",26,"Left-Back",578,1800,0.321,1993-06-04,650000
"Michael Brouwer","Heracles Almelo",26,"Goalkeeper",180,1800,0.1,1993-01-21,1e+05
"Michael Chacón","FC Emmen",25,"Central Midfield",1460,1710,0.854,1994-04-11,7e+05
"Michael de Leeuw","FC Emmen",33,"Attacking Midfield",1695,1710,0.991,1986-10-07,6e+05
"Michael Fabrie","Sparta Rotterdam",22,"Goalkeeper",0,1800,0,1997-11-11,150000
"Michaël Heylen","FC Emmen",26,"Centre-Back",1154,1710,0.675,1994-01-03,5e+05
"Michael Woud","Willem II Tilburg",20,"Goalkeeper",0,1800,0,1999-01-16,3e+05
"Michael Zetterer","PEC Zwolle",24,"Goalkeeper",540,1800,0.3,1995-07-12,6e+05
"Michal Sadilek","PSV Eindhoven",20,"Central Midfield",1917,2880,0.666,1999-05-31,3500000
"Michiel Kramer","ADO Den Haag",31,"Centre-Forward",629,1710,0.368,1988-12-03,650000
"Miguel Araujo","FC Emmen",25,"Centre-Back",360,1710,0.211,1994-10-24,850000
"Mike Grim","RKC Waalwijk",23,"Goalkeeper",0,1710,0,1996-09-07,25000
"Mike Hauptmeijer","PEC Zwolle",22,"Goalkeeper",0,1800,0,1997-03-18,1e+05
"Mike te Wierik","FC Groningen",27,"Centre-Back",1463,1800,0.813,1992-06-08,1500000
"Mike Trésor Ndayishimiye","Willem II Tilburg",20,"Attacking Midfield",1078,1800,0.599,1999-05-28,2e+06
"Mike van Duinen","PEC Zwolle",28,"Centre-Forward",156,1800,0.087,1991-11-06,1e+06
"Milan van Ewijk","ADO Den Haag",19,"Right-Back",1010,1710,0.591,2000-09-08,450000
"Miquel Nelom","Willem II Tilburg",29,"Left-Back",759,1800,0.422,1990-09-22,5e+05
"Mitchell van Bergen","SC Heerenveen",20,"Right Winger",1682,1800,0.934,1999-08-27,4e+06
"Mo El Hankouri","FC Groningen",22,"Left Winger",1135,1800,0.631,1997-07-01,6e+05
"Mohamed Ihattaren","PSV Eindhoven",17,"Attacking Midfield",1956,2880,0.679,2002-02-12,2.2e+07
"Mohamed Rayhi","Sparta Rotterdam",25,"Left Winger",1530,1800,0.85,1994-07-01,8e+05
"Mohammed Osman","Heracles Almelo",26,"Central Midfield",595,1800,0.331,1994-01-01,1750000
"Mustafa Saymak","PEC Zwolle",26,"Attacking Midfield",660,1800,0.367,1993-02-11,9e+05
"Myron Boadu","AZ Alkmaar",18,"Centre-Forward",2377,2790,0.852,2001-01-14,2e+07
"Nando Nöstlinger","RKC Waalwijk",21,"Attacking Midfield",0,1710,0,1998-01-15,1e+05
"Naoufal Bannis","Feyenoord Rotterdam",17,"Centre-Forward",90,2610,0.034,2002-03-11,3e+05
"Nassim el Ablak","Fortuna Sittard",20,"Attacking Midfield",56,1800,0.031,2000-01-07,75000
"Navajo Bakboord","Heracles Almelo",20,"Right-Back",810,1800,0.45,1999-01-29,4e+05
"Navarone Foor","Vitesse Arnhem",27,"Attacking Midfield",753,1800,0.418,1992-02-04,1250000
"Nemanja Mihajlovic","SC Heerenveen",23,"Left Winger",0,1800,0,1996-01-19,650000
"Nick Bakker","FC Emmen",27,"Centre-Back",630,1710,0.368,1992-07-21,4e+05
"Nick Marsman","Feyenoord Rotterdam",29,"Goalkeeper",360,2610,0.138,1990-10-01,650000
"Nick Viergever","PSV Eindhoven",30,"Centre-Back",2618,2880,0.909,1989-08-03,4e+06
"Nicklas Strunck Jakobsen","FC Groningen",20,"Central Midfield",0,1800,0,1999-08-17,5e+05
"Nicolai Jörgensen","Feyenoord Rotterdam",28,"Centre-Forward",906,2610,0.347,1991-01-15,6500000
"Nicolás Tagliafico","Ajax Amsterdam",27,"Left-Back",2323,2700,0.86,1992-08-31,3.5e+07
"Niels Leemhuis","Heracles Almelo",22,"Attacking Midfield",0,1800,0,1997-09-28,75000
"Nikki Baggerman","RKC Waalwijk",22,"Central Midfield",0,1710,0,1997-10-17,150000
"Nikolai Laursen","FC Emmen",21,"Centre-Forward",1296,1710,0.758,1998-02-19,7e+05
"Noa Lang","Ajax Amsterdam",20,"Left Winger",425,2700,0.157,1999-06-17,3e+06
"Nouha Dicko","Vitesse Arnhem",27,"Centre-Forward",787,1800,0.437,1992-05-14,1500000
"Noussair Mazraoui","Ajax Amsterdam",22,"Right-Back",1180,2700,0.437,1997-11-14,1.5e+07
"Olivier Boscagli","PSV Eindhoven",22,"Left-Back",1023,2880,0.355,1997-11-18,3e+06
"Orestis Kiomourtzoglou","Heracles Almelo",21,"Defensive Midfield",1599,1800,0.888,1998-05-07,1e+06
"Oriol Busquets","FC Twente Enschede",20,"Defensive Midfield",1181,1800,0.656,1999-01-20,2500000
"Orkun Kökcü","Feyenoord Rotterdam",19,"Attacking Midfield",2003,2610,0.767,2000-12-29,7e+06
"Oussama Idrissi","AZ Alkmaar",23,"Left Winger",2491,2790,0.893,1996-02-26,1.2e+07
"Oussama Tannane","Vitesse Arnhem",25,"Right Winger",750,1800,0.417,1994-03-23,1250000
"Owen Wijndal","AZ Alkmaar",20,"Left-Back",2677,2790,0.959,1999-11-28,9e+06
"Özgür Aktas","Vitesse Arnhem",22,"Centre-Back",5,1800,0.003,1997-01-27,50000
"Pablo Rosario","PSV Eindhoven",23,"Defensive Midfield",2719,2880,0.944,1997-01-07,1.1e+07
"Pantelis Chatzidiakos","AZ Alkmaar",22,"Centre-Back",1124,2790,0.403,1997-01-18,1250000
"Patrick Joosten","Sparta Rotterdam",23,"Left Winger",0,1800,0,1996-04-14,9e+05
"Patrick Joosten","FC Utrecht",23,"Left Winger",426,1980,0.215,1996-04-14,9e+05
"Patrick Vroegh","Vitesse Arnhem",20,"Defensive Midfield",187,1800,0.104,1999-11-29,50000
"Patrik Raitanen","Fortuna Sittard",18,"Centre-Back",29,1800,0.016,2001-06-13,75000
"Paul Gladon","Willem II Tilburg",27,"Centre-Forward",191,1800,0.106,1992-03-18,6e+05
"Paul Quasten","RKC Waalwijk",34,"Left-Back",482,1710,0.282,1985-03-13,150000
"Paul Verhaegh","FC Twente Enschede",36,"Right-Back",445,1800,0.247,1983-09-01,250000
"Pawel Cibicki","ADO Den Haag",26,"Centre-Forward",122,1710,0.071,1994-01-09,7e+05
"Peet Bijen","FC Twente Enschede",24,"Centre-Back",1073,1800,0.596,1995-01-28,6e+05
"Pelle Clement","PEC Zwolle",23,"Central Midfield",1546,1800,0.859,1996-05-19,1e+06
"Perr Schuurs","Ajax Amsterdam",20,"Centre-Back",871,2700,0.323,1999-11-26,7e+06
"Pol Llonch","Willem II Tilburg",27,"Central Midfield",1565,1800,0.869,1992-10-07,1250000
"Queensy Menig","FC Twente Enschede",24,"Left Winger",193,1800,0.107,1995-08-19,7e+05
"Quincy Promes","Ajax Amsterdam",28,"Left Winger",1574,2700,0.583,1992-01-04,2.2e+07
"Rafik Zekhnini","FC Twente Enschede",21,"Left Winger",614,1800,0.341,1998-01-12,850000
"Ragnar Ache","Sparta Rotterdam",21,"Centre-Forward",1352,1800,0.751,1998-07-28,1e+06
"Rami Hajal","SC Heerenveen",18,"Attacking Midfield",0,1800,0,2001-09-17,50000
"Ramiz Zerrouki","FC Twente Enschede",21,"Central Midfield",7,1800,0.004,1998-05-26,75000
"Ramon Leeuwin","AZ Alkmaar",32,"Centre-Back",0,2790,0,1987-09-01,5e+05
"Ramon Pascal Lundqvist","FC Groningen",22,"Attacking Midfield",763,1800,0.424,1997-05-10,750000
"Ramón ten Hove","Feyenoord Rotterdam",21,"Goalkeeper",0,2610,0,1998-03-03,2e+05
"Rasmus Karjalainen","Fortuna Sittard",23,"Centre-Forward",572,1800,0.318,1996-04-04,350000
"Razvan Marin","Ajax Amsterdam",23,"Central Midfield",709,2700,0.263,1996-05-23,1.2e+07
"Rein Smit","SC Heerenveen",19,"Centre-Forward",11,1800,0.006,2001-01-05,NA
"Remko Pasveer","Vitesse Arnhem",36,"Goalkeeper",1620,1800,0.9,1983-11-08,250000
"Renato Tapia","Feyenoord Rotterdam",24,"Defensive Midfield",1445,2610,0.554,1995-07-28,3e+06
"Reuven Niemeijer","Heracles Almelo",24,"Central Midfield",0,1800,0,1995-03-27,450000
"Reza Ghoochannejhad","PEC Zwolle",32,"Centre-Forward",675,1800,0.375,1987-09-20,8e+05
"Ricardo van Rhijn","SC Heerenveen",28,"Right-Back",978,1800,0.543,1991-06-13,8e+05
"Richie Musaba","Vitesse Arnhem",19,"Attacking Midfield",0,1800,0,2000-12-06,1e+05
"Rick Dekker","PEC Zwolle",24,"Defensive Midfield",1202,1800,0.668,1995-03-15,650000
"Rick Karsdorp","Feyenoord Rotterdam",24,"Right-Back",1261,2610,0.483,1995-02-11,7e+06
"Rick Zuijderwijk","Willem II Tilburg",18,"Attacking Midfield",41,1800,0.023,2001-04-13,75000
"Rico Strieder","FC Utrecht",27,"Defensive Midfield",166,1980,0.084,1992-07-06,1e+06
"Ridgeciano Haps","Feyenoord Rotterdam",26,"Left-Back",1789,2610,0.685,1993-06-12,6e+06
"Riechedly Bazoer","Vitesse Arnhem",23,"Central Midfield",1436,1800,0.798,1996-10-12,1750000
"Ritsu Doan","PSV Eindhoven",21,"Right Winger",1204,2880,0.418,1998-06-16,8e+06
"Ritsu Doan","FC Groningen",21,"Right Winger",180,1800,0.1,1998-06-16,8e+06
"Robbert de Vos","FC Emmen",23,"Central Midfield",349,1710,0.204,1996-05-26,75000
"Robbin Ruiter","PSV Eindhoven",32,"Goalkeeper",180,2880,0.062,1987-03-25,1500000
"Robert Zwinkels","ADO Den Haag",36,"Goalkeeper",450,1710,0.263,1983-05-04,350000
"Robin Jalving","FC Emmen",19,"Goalkeeper",0,1710,0,2000-04-11,50000
"Robin Polley","ADO Den Haag",21,"Right-Back",127,1710,0.074,1998-12-28,50000
"Robin Pröpper","Heracles Almelo",26,"Centre-Back",1283,1800,0.713,1993-09-23,8e+05
"Rodney Kongolo","SC Heerenveen",22,"Central Midfield",1568,1800,0.871,1998-01-09,9e+05
"Rody de Boer","AZ Alkmaar",22,"Goalkeeper",82,2790,0.029,1997-08-22,750000
"Romano Postema","FC Groningen",17,"Centre-Forward",61,1800,0.034,2002-02-07,2e+05
"Ron Vlaar","AZ Alkmaar",34,"Centre-Back",1352,2790,0.485,1985-02-16,750000
"Rowen Koot","Fortuna Sittard",20,"Goalkeeper",0,1800,0,1999-07-20,75000
"Roy Beerens","Vitesse Arnhem",32,"Right Winger",0,1800,0,1987-12-22,5e+05
"Ruben Roosken","FC Emmen",19,"Right-Back",45,1710,0.026,2000-03-02,50000
"Runar Espejord","SC Heerenveen",23,"Centre-Forward",0,1800,0,1996-02-26,4e+05
"Ryan Gravenberch","Ajax Amsterdam",17,"Central Midfield",243,2700,0.09,2002-05-16,5e+06
"Ryan Thomas","PSV Eindhoven",25,"Central Midfield",359,2880,0.125,1994-12-20,3e+06
"Sai van Wermeskerken","PEC Zwolle",25,"Right-Back",1192,1800,0.662,1994-06-28,5e+05
"Saïd Bakari","RKC Waalwijk",25,"Left Winger",1163,1710,0.68,1994-09-22,250000
"Sam Kersten","PEC Zwolle",21,"Centre-Back",583,1800,0.324,1998-01-30,5e+05
"Sam Lammers","PSV Eindhoven",22,"Centre-Forward",98,2880,0.034,1997-04-30,9e+06
"Sam Larsson","Feyenoord Rotterdam",26,"Left Winger",1520,2610,0.582,1993-04-10,5e+06
"Sam Schreck","FC Groningen",20,"Attacking Midfield",246,1800,0.137,1999-01-29,4e+05
"Sam Stubbs","ADO Den Haag",21,"Centre-Back",0,1710,0,1998-11-20,150000
"Samir Memisevic","FC Groningen",26,"Centre-Back",694,1800,0.386,1993-08-13,2e+06
"Sander van de Streek","FC Utrecht",26,"Attacking Midfield",1475,1980,0.745,1993-03-24,3e+06
"Sean Klaiber","FC Utrecht",25,"Right-Back",1962,1980,0.991,1994-07-31,3e+06
"Sebastian Holmén","Willem II Tilburg",27,"Centre-Back",1800,1800,1,1992-04-29,1250000
"Sebastian Jakubiak","Heracles Almelo",26,"Defensive Midfield",263,1800,0.146,1993-06-21,3e+05
"Sergiño Dest","Ajax Amsterdam",19,"Right-Back",1651,2700,0.611,2000-11-03,1.2e+07
"Sergio Padt","FC Groningen",29,"Goalkeeper",1710,1800,0.95,1990-06-06,2e+06
"Sergio Peña","FC Emmen",24,"Attacking Midfield",1354,1710,0.792,1995-09-28,9e+05
"Shani Tarashaj","FC Emmen",24,"Second Striker",0,1710,0,1995-02-07,350000
"Shaquille Pinas","ADO Den Haag",21,"Centre-Back",1697,1710,0.992,1998-03-19,1250000
"Sherel Floranus","SC Heerenveen",21,"Right-Back",1780,1800,0.989,1998-08-23,8e+05
"Siem de Jong","Ajax Amsterdam",30,"Attacking Midfield",57,2700,0.021,1989-01-28,2e+06
"Silvester van der Water","Heracles Almelo",23,"Right Winger",1414,1800,0.786,1996-09-30,1e+06
"Simon Gustafson","FC Utrecht",24,"Attacking Midfield",1805,1980,0.912,1995-01-11,3e+06
"Simon Makienok","FC Utrecht",29,"Centre-Forward",77,1980,0.039,1990-11-21,7e+05
"Sontje Hansen","Ajax Amsterdam",17,"Centre-Forward",13,2700,0.005,2002-05-18,NA
"Stanley Elbers","PEC Zwolle",27,"Right Winger",69,1800,0.038,1992-05-14,5e+05
"Stanley Elbers","RKC Waalwijk",27,"Right Winger",571,1710,0.334,1992-05-14,5e+05
"Stefan van der Lei","FC Emmen",26,"Goalkeeper",0,1710,0,1993-03-05,150000
"Stephen Sama","Heracles Almelo",26,"Centre-Back",0,1800,0,1993-03-05,2e+05
"Steven Berghuis","Feyenoord Rotterdam",28,"Right Winger",2457,2610,0.941,1991-12-19,1.3e+07
"Steven Bergwijn","PSV Eindhoven",22,"Left Winger",2171,2880,0.754,1997-10-08,3.5e+07
"Stijn Spierings","RKC Waalwijk",23,"Attacking Midfield",1615,1710,0.944,1996-03-12,7e+05
"Stijn Wuytens","AZ Alkmaar",30,"Centre-Back",2375,2790,0.851,1989-10-08,1500000
"Suently Alberto","Sparta Rotterdam",23,"Centre-Back",0,1800,0,1996-06-09,1e+05
"Sven Botman","SC Heerenveen",19,"Centre-Back",1777,1800,0.987,2000-01-12,1250000
"Sven van Beek","Feyenoord Rotterdam",25,"Centre-Back",0,2610,0,1994-07-28,1500000
"Sylla Sow","RKC Waalwijk",23,"Centre-Forward",931,1710,0.544,1996-08-08,550000
"Tapmahoe Sopacua","FC Groningen",19,"Right-Back",0,1800,0,2000-05-04,75000
"Tesfaldet Tekie","Fortuna Sittard",22,"Central Midfield",1222,1800,0.679,1997-06-04,8e+05
"Teun Bijleveld","Heracles Almelo",21,"Central Midfield",168,1800,0.093,1998-05-27,5e+05
"Teun Koopmeiners","AZ Alkmaar",21,"Defensive Midfield",2820,2790,1.011,1998-02-28,1.4e+07
"Thijmen Nijhuis","FC Utrecht",21,"Goalkeeper",0,1980,0,1998-07-25,250000
"Thijs Dallinga","FC Groningen",19,"Centre-Forward",0,1800,0,2000-08-03,75000
"Thom Haye","ADO Den Haag",24,"Attacking Midfield",276,1710,0.161,1995-02-09,5e+05
"Thomas Bruns","PEC Zwolle",28,"Attacking Midfield",443,1800,0.246,1992-01-07,8e+05
"Thomas Buitink","Vitesse Arnhem",19,"Centre-Forward",363,1800,0.202,2000-06-14,1500000
"Thomas Lam","PEC Zwolle",26,"Centre-Back",748,1800,0.416,1993-12-18,1e+06
"Thomas Ouwejan","AZ Alkmaar",23,"Left-Back",750,2790,0.269,1996-09-30,3e+06
"Tijjani Reijnders","AZ Alkmaar",21,"Central Midfield",38,2790,0.014,1998-07-29,7e+05
"Tijjani Reijnders","RKC Waalwijk",21,"Central Midfield",0,1710,0,1998-07-29,7e+05
"Tim Breukers","Heracles Almelo",32,"Right-Back",990,1800,0.55,1987-11-04,7e+05
"Tim Coremans","Sparta Rotterdam",28,"Goalkeeper",990,1800,0.55,1991-04-10,250000
"Tim Hölscher","FC Twente Enschede",24,"Attacking Midfield",0,1800,0,1995-01-21,5e+05
"Tim Matavz","Vitesse Arnhem",30,"Centre-Forward",1466,1800,0.814,1989-01-13,2e+06
"Timo Baumgartl","PSV Eindhoven",23,"Centre-Back",1623,2880,0.564,1996-03-04,9e+06
"Timon Wellenreuther","Willem II Tilburg",24,"Goalkeeper",1800,1800,1,1995-12-03,1250000
"Tom Beugelsdijk","ADO Den Haag",29,"Centre-Back",1599,1710,0.935,1990-08-07,7e+05
"Tom Hiariej","FC Emmen",31,"Defensive Midfield",1204,1710,0.704,1988-07-25,3e+05
"Tomas Hajek","Vitesse Arnhem",28,"Centre-Back",180,1800,0.1,1991-12-01,750000
"Tomas Necid","ADO Den Haag",30,"Centre-Forward",1055,1710,0.617,1989-08-13,1e+06
"Trevor Doornbusch","SC Heerenveen",20,"Goalkeeper",0,1800,0,1999-07-06,1e+05
"Tyrell Malacia","Feyenoord Rotterdam",20,"Left-Back",821,2610,0.315,1999-08-17,2500000
"Urby Emanuelson","FC Utrecht",33,"Central Midfield",239,1980,0.121,1986-06-16,8e+05
"Vaclav Cerny","FC Utrecht",22,"Right Winger",487,1980,0.246,1997-10-17,8e+05
"Van Hau Doan","SC Heerenveen",20,"Left-Back",1,1800,0.001,1999-04-19,150000
"Vangelis Pavlidis","Willem II Tilburg",21,"Centre-Forward",1600,1800,0.889,1998-11-21,2250000
"Victor van den Bogert","Willem II Tilburg",20,"Centre-Back",90,1800,0.05,1999-08-12,1e+05
"Vitalie Damascan","Fortuna Sittard",20,"Centre-Forward",746,1800,0.414,1999-01-24,8e+05
"Vito van Crooij","PEC Zwolle",23,"Right Winger",992,1800,0.551,1996-01-29,1e+06
"Warner Hahn","SC Heerenveen",27,"Goalkeeper",1800,1800,1,1992-06-15,1500000
"Wessel Dammers","Fortuna Sittard",24,"Centre-Back",168,1800,0.093,1995-03-01,5e+05
"Willem Janssen","FC Utrecht",33,"Centre-Back",1920,1980,0.97,1986-07-04,1500000
"Wout Brama","FC Twente Enschede",33,"Defensive Midfield",780,1800,0.433,1986-08-21,350000
"Wouter Burger","Feyenoord Rotterdam",18,"Central Midfield",378,2610,0.145,2001-02-16,1500000
"Wouter Marinus","FC Emmen",24,"Attacking Midfield",33,1710,0.019,1995-02-18,350000
"Xandro Schenk","FC Twente Enschede",26,"Centre-Back",1662,1800,0.923,1993-04-28,650000
"Xavier Mous","PEC Zwolle",24,"Goalkeeper",1260,1800,0.7,1995-08-04,7e+05
"Yahya Boussakou","ADO Den Haag",19,"Right Winger",0,1710,0,2000-03-04,50000
"Yanick van Osch","PSV Eindhoven",22,"Goalkeeper",0,2880,0,1997-03-24,5e+05
"Yassin Ayoub","Feyenoord Rotterdam",25,"Central Midfield",67,2610,0.026,1994-03-06,2500000
"Yukinari Sugawara","AZ Alkmaar",19,"Right-Back",995,2790,0.357,2000-06-28,2e+06
"Yuta Nakayama","PEC Zwolle",22,"Centre-Back",630,1800,0.35,1997-02-16,750000
"Zakaria Aboukhlal","PSV Eindhoven",19,"Right Winger",0,2880,0,2000-02-18,1500000
"Zakaria Aboukhlal","AZ Alkmaar",19,"Right Winger",193,2790,0.069,2000-02-18,1500000
"Zakaria Labyad","Ajax Amsterdam",26,"Attacking Midfield",194,2700,0.072,1993-03-09,4e+06
